Area,Date,Number,MOE,Percent,Percent MOE,Week Num,Month,Year,State Abbr
Maine,"June 23, 2021",173144,23381,16.4,2.2,33 ,June 23, 2021,ME
Maryland,"June 23, 2021",1564183,131285,34.6,2.9,33 ,June 23, 2021,MD
Massachusetts,"June 23, 2021",1964968,154284,37.7,2.9,33 ,June 23, 2021,MA
Michigan,"June 23, 2021",1619715,132456,21.6,1.8,33 ,June 23, 2021,MI
Minnesota,"June 23, 2021",1272180,96089,30.1,2.3,33 ,June 23, 2021,MN
Mississippi,"June 23, 2021",199729,45090,9.3,2.1,33 ,June 23, 2021,MS
Missouri,"June 23, 2021",922548,122273,20.2,2.7,33 ,June 23, 2021,MO
Montana,"June 23, 2021",143052,30363,17.6,3.6,33 ,June 23, 2021,MT
Nebraska,"June 23, 2021",350413,47772,25.2,3.4,33 ,June 23, 2021,NE
Nevada,"June 23, 2021",420204,73751,17.4,3.0,33 ,June 23, 2021,NV
New Hampshire,"June 23, 2021",277811,33537,26.0,3.2,33 ,June 23, 2021,NH
New Jersey,"June 23, 2021",2152281,180417,32.0,2.7,33 ,June 23, 2021,NJ
New Mexico,"June 23, 2021",274138,38089,17.3,2.4,33 ,June 23, 2021,NM
New York,"June 23, 2021",4062349,586252,28.0,4.0,33 ,June 23, 2021,NY
North Carolina,"June 23, 2021",1565769,265486,19.7,3.3,33 ,June 23, 2021,NC
North Dakota,"June 23, 2021",77170,19966,13.8,3.6,33 ,June 23, 2021,ND
Ohio,"June 23, 2021",1756006,211515,20.6,2.6,33 ,June 23, 2021,OH
Oklahoma,"June 23, 2021",477814,110676,16.3,3.8,33 ,June 23, 2021,OK
Oregon,"June 23, 2021",808800,55372,24.5,1.7,33 ,June 23, 2021,OR
Pennsylvania,"June 23, 2021",2243659,191193,23.4,2.0,33 ,June 23, 2021,PA
Rhode Island,"June 23, 2021",195308,26309,24.2,3.2,33 ,June 23, 2021,RI
South Carolina,"June 23, 2021",675285,136105,17.1,3.5,33 ,June 23, 2021,SC
South Dakota,"June 23, 2021",81176,15949,12.7,2.5,33 ,June 23, 2021,SD
Tennessee,"June 23, 2021",1023524,168884,19.4,3.2,33 ,June 23, 2021,TN
Texas,"June 23, 2021",4485578,360792,21.1,1.7,33 ,June 23, 2021,TX
Utah,"June 23, 2021",661100,52773,29.0,2.4,33 ,June 23, 2021,UT
Vermont,"June 23, 2021",148955,20839,30.8,4.3,33 ,June 23, 2021,VT
Virginia,"June 23, 2021",2014023,168803,31.3,2.7,33 ,June 23, 2021,VA
Washington,"June 23, 2021",1689146,119390,28.6,2.0,33 ,June 23, 2021,WA
West Virginia,"June 23, 2021",202385,37136,15.0,2.7,33 ,June 23, 2021,WV
Wisconsin,"June 23, 2021",935674,128286,21.3,2.9,33 ,June 23, 2021,WI
Wyoming,"June 23, 2021",76629,17549,17.6,4.0,33 ,June 23, 2021,WY
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","April 14, 2021",1531083,202380,33.5,3.7,28 ,April 14, 2021,
"Boston-Cambridge-Newton, MA-NH Metro Area","April 14, 2021",1731244,131801,46.3,2.8,28 ,April 14, 2021,
