Area,Week,Number,MOE,Percent,MOE Percent
Washington,"22 - January 6-18, 2021",2435088,126745,43.3,2.3
Wisconsin,"25 - February 17 - March 1, 2021",1548512,126562,36.3,3
Alabama,"27 - March 17-29, 2021",1045707,125912,29.9,3.5
Louisiana,"24 - February 3-15, 2021",962504,125588,29.6,3.8
Washington,"27 - March 17-29, 2021",2310805,125569,41.4,2.3
Massachusetts,"22 - January 6-18, 2021",2515904,125240,50.1,2.4
Missouri,"23 - January 20 - February 1, 2021",1628631,125033,37.4,2.7
Massachusetts,"20 - November 25 - December 7, 2020",2413853,124971,47.9,2.6
Maryland,"27 - March 17-29, 2021",2007232,123607,46.5,2.7
Arizona,"22 - January 6-18, 2021",1980281,123427,38,2.3
Colorado,"23 - January 20 - February 1, 2021",1971489,123416,45.7,3
South Carolina,"26 - March 3-15, 2021",1151017,123295,31.4,3.3
Virginia,"13 - August 19-31, 2020",2489283,122621,40.5,1.9
Massachusetts,"24 - February 3-15, 2021",2545981,122531,50.2,2.5
Colorado,"24 - February 3-15, 2021",1990175,122458,46.8,3.1
Indiana,"22 - January 6-18, 2021",1434170,122437,31.3,2.5
Colorado,"27 - March 17-29, 2021",1879051,122403,44.3,2.8
Colorado,"26 - March 3-15, 2021",2079053,122277,48.1,2.8
South Carolina,"24 - February 3-15, 2021",1117889,121877,30.6,3.3
Missouri,"15 - September 16-28, 2020",1491834,121525,33.5,2.7
Wisconsin,"24 - February 3-15, 2021",1607108,121354,37.5,2.8
Wisconsin,"16 - September 30 - October 12, 2020",1474073,121346,34.8,3
Tennessee,"13 - August 19-31, 2020",1451609,121310,29.4,2.5
Arizona,"16 - September 30 - October 12, 2020",2055089,121094,38.4,2.3
South Carolina,"22 - January 6-18, 2021",1034528,120649,28.4,3.3
Massachusetts,"19 - November 11-23, 2020",2436695,120355,47.7,2.3
Missouri,"19 - November 11-23, 2020",1412728,119944,32.2,2.8
Alabama,"26 - March 3-15, 2021",1002867,119718,28.4,3.4
Kentucky,"23 - January 20 - February 1, 2021",983567,119553,31.3,3.9
Washington,"19 - November 11-23, 2020",2328595,119282,41.2,2.2
South Carolina,"17 - October 14-26, 2020",1157709,118991,30.2,3.2
Minnesota,"24 - February 3-15, 2021",1802474,118763,44.4,2.8
Wisconsin,"26 - March 3-15, 2021",1488264,118741,35.3,2.8
Alabama,"21 - December 9-21, 2020",970011,118632,28.1,3.4
Maryland,"15 - September 16-28, 2020",2074954,118538,47.3,2.7
Kentucky,"26 - March 3-15, 2021",1075940,118522,33.8,3.7
Minnesota,"23 - January 20 - February 1, 2021",1754397,118514,43.4,3
Kentucky,"25 - February 17 - March 1, 2021",978045,118508,30.4,3.7
Alabama,"22 - January 6-18, 2021",903290,118438,27,3.4
Missouri,"24 - February 3-15, 2021",1452125,118190,33.1,2.7
Missouri,"16 - September 30 - October 12, 2020",1575119,117875,35.5,2.6
Arizona,"15 - September 16-28, 2020",1981866,117845,37.2,2.3
